DATE,A229RX0Q048SBEA
1947-01-01,9727.0
1947-04-01,9590.0
1947-07-01,9801.0
1947-10-01,9618.0
1948-01-01,9758.0
1948-04-01,10021.0
1948-07-01,10140.0
1948-10-01,10150.0
1949-01-01,9906.0
1949-04-01,9916.0
1949-07-01,9938.0
1949-10-01,9949.0
1950-01-01,10672.0
1950-04-01,10603.0
1950-07-01,10690.0
1950-10-01,10707.0
1951-01-01,10673.0
1951-04-01,10868.0
1951-07-01,10941.0
1951-10-01,10870.0
1952-01-01,10821.0
1952-04-01,10916.0
1952-07-01,11088.0
1952-10-01,11274.0
1953-01-01,11365.0
1953-04-01,11471.0
1953-07-01,11364.0
1953-10-01,11273.0
1954-01-01,11282.0
1954-04-01,11247.0
1954-07-01,11314.0
1954-10-01,11475.0
1955-01-01,11613.0
1955-04-01,11822.0
1955-07-01,11986.0
1955-10-01,12067.0
1956-01-01,12139.0
1956-04-01,12204.0
1956-07-01,12210.0
1956-10-01,12337.0
1957-01-01,12321.0
1957-04-01,12357.0
1957-07-01,12364.0
1957-10-01,12226.0
1958-01-01,12073.0
1958-04-01,12110.0
1958-07-01,12323.0
1958-10-01,12455.0
1959-01-01,12473.0
1959-04-01,12625.0
1959-07-01,12554.0
1959-10-01,12588.0
1960-01-01,12659.0
1960-04-01,12664.0
1960-07-01,12625.0
1960-10-01,12570.0
1961-01-01,12646.0
1961-04-01,12789.0
1961-07-01,12905.0
1961-10-01,13101.0
1962-01-01,13183.0
1962-04-01,13279.0
1962-07-01,13298.0
1962-10-01,13363.0
1963-01-01,13434.0
1963-04-01,13514.0
1963-07-01,13610.0
1963-10-01,13779.0
1964-01-01,14005.0
1964-04-01,14337.0
1964-07-01,14471.0
1964-10-01,14584.0
1965-01-01,14716.0
1965-04-01,14841.0
1965-07-01,15196.0
1965-10-01,15452.0
1966-01-01,15566.0
1966-04-01,15566.0
1966-07-01,15708.0
1966-10-01,15844.0
1967-01-01,16043.0
1967-04-01,16131.0
1967-07-01,16239.0
1967-10-01,16311.0
1968-01-01,16548.0
1968-04-01,16782.0
1968-07-01,16790.0
1968-10-01,16875.0
1969-01-01,16882.0
1969-04-01,17008.0
1969-07-01,17306.0
1969-10-01,17387.0
1970-01-01,17526.0
1970-04-01,17688.0
1970-07-01,17909.0
1970-10-01,17805.0
1971-01-01,18104.0
1971-04-01,18315.0
1971-07-01,18354.0
1971-10-01,18511.0
1972-01-01,18551.0
1972-04-01,18700.0
1972-07-01,19014.0
1972-10-01,19724.0
1973-01-01,19831.0
1973-04-01,19954.0
1973-07-01,19994.0
1973-10-01,20164.0
1974-01-01,19788.0
1974-04-01,19562.0
1974-07-01,19530.0
1974-10-01,19454.0
1975-01-01,19385.0
1975-04-01,20233.0
1975-07-01,19880.0
1975-10-01,19984.0
1976-01-01,20182.0
1976-04-01,20254.0
1976-07-01,20359.0
1976-10-01,20434.0
